source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"Trần Đạt,Lập trình Swift",,"['30', 'May', 'at', '15:32']","[HN] Mobile Developer (iOS, Android) at Paygate| Offer up to $1,500 🌈PayGate là tập đoàn fintech có trụ sở chính ở Seoul, Hàn Quốc. Được thành lập từ năm 1998, các sản phẩm dịch vụ của PayGate tập trung vào ba lĩnh vực chính: thanh toán trực tuyến, thương mại điện tử và chuyển tiền quốc tế Hiện nay công ty cần tuyển thêm 2 bạn mobile developer về cùng làm dự án fintech. Với các ưu đãi: 😍Được làm việc trong môi trường chuyên nghiệp, tham gia dự án lớn 😍Được đóng các loại bảo hiểm 😍Có cơ hội tham gia các sự kiện IT và qua Hàn training 😍Được giữ xe miễn phí nữa Yêu cầu: 🎯Có trên 3 năm kinh nghiệm code Mobile App 🎯Có kinh nghiệm viết iOS app bằng Swift hoặc Android bằng Java 🎯Có khả năng thiết kế và tối ưu cơ sở dữ liệu cho ứng dụng có lượng truy cập lớn 🚩Địa chỉ làm việc: Tầng 2, tòa nhà 25T2, Hoàng Đạo Thúy, Trung Hòa, Quận Cầu Giấy, Hà Nội Gửi CV về mail: tran196dat@gmail.com   Tiêu đề: Paygate - Mobile Dev - Họ và tên Nhanh tay gửi CV về nào mn ơi, có bất kỳ thắc mắc nào có thể inb mình nha.",2,2,,,,,,2,2388604561393201,/groups/1445720959014904?view=permalink&id=2388604561393201
"Uyển Nhi,Lập trình Swift",,2019-06-03,"[HCM/HN/ĐN] Sun* Inc. tuyển iOS Developer | UP TO $1,800 📣 Sun* Inc. (New brand of Framgia Inc.) cần tuyển iOS Developer với 1 năm kinh nghiệm. Bạn sẽ nhận mức offer từ $600 - $1,800 kèm những phúc lợi siêu hấp dẫn. 📣 Đãi ngộ:  🎁 Lương tháng 13. Performance review: 2 lần/năm. 🎁 Trang thiết bị hiện đại. 🎁 Môi trường làm việc toàn cầu, văn hóa đa quốc gia. 🎁 Được tham gia các chương trình training về kỹ năng công nghệ và kỹ năng mềm, phương pháp làm việc (Agile, Scrum...). 🎁 Phụ cấp chứng chỉ IT, phụ cấp tiếng Nhật, phụ cấp kỹ năng tiếng Nhật, phụ cấp chứng chỉ tiếng Anh, phụ cấp tham gia hội thảo ngoài. 📍 Job tuyển ở cả Hà Nội, Đà Nẵng, HCM luôn nhé. ---- Gửi CV bạn qua mail phannguyenuyennhi59@gmail.com 📧 Tiêu đề: iOS Developer - Sun* Inc. - Tên bạn Mọi thắc mắc, bạn vui lòng comment bên dưới hoặc inbox cho mình nhé.",6,6,,,,,,1,2391407157779608,/groups/1445720959014904?view=permalink&id=2391407157779608
"Dương Lý HR,Lập trình Swift",,2019-06-03,"[TOKYO] Tuyển 10 kỹ sư IT . 🚫 Yêu cầu:  👉 Kinh nghiệm Dev IOS, Android từ 1 năm trở lên. 👉 Trình độ tiếng Nhật tương đương N4 👉 Các bạn sinh viên mới ra trường sẽ được tham gia khóa đào tạo tại Việt Nam trước khi đăng ký sang Nhật làm việc. 🚫 Quyền lợi: 👉 Lương: 400 -1000 man/năm. Tùy vào kinh nghiệm của ứng viên. 👉 Được làm việc trong một môi trường chuyên nghiệp.  👉 Có thể bảo lãnh người nhà, con cái sang Nhật. 👉Nghỉ lễ, phép theo quy định pháp luật......... 🔈 Nhật Bản không phải chỉ có màu hồng. Nhưng là một đất nước để bạn có thể học tập và phát triển bản thân tốt nhất.",1,1,,,,,,1,2391373901116267,/groups/1445720959014904?view=permalink&id=2391373901116267
"Nhật HR,Lập trình Swift",,"['2', 'May', 'at', '09:53']",{Quay trở lại sau ngày nghỉ lễ} Mình cần tuyển khoảng 15 bạn Java Web làm việc onsite tối thiểu 06 tháng tại Hà Nội . Yêu cầu 1-2 năm kinh nghiệm . Mức lương cao hơn thị trường 15-20% Bạn nào có hứng thú với jobs này có thể ibox trực tiếp or gửi hồ sơ vào email: hrcuong.neu@gmail.com ĐT liên hệ: 0964 240 315 Cảm ơn mn.,,,,,,,,4,2369357419984582,/groups/1445720959014904?view=permalink&id=2369357419984582
"Khánh Trình,Lập trình Swift",,"['2', 'June', 'at', '17:27']","Chào các bạn, mình xin giới thiệu với các bạn về chương trình Vietnam AI Grand Challenge, chương trình hackathon về AI (Trí tuệ nhân tạo) do Kambria phối hợp với VnExpress tổ chức dưới sự bảo trợ của Bộ Khoa Học & Công Nghệ, Bộ Kế Hoạch & Đầu Tư.Tham gia hackathon, các bạn sẽ được hướng dẫn và đào tạo về công nghệ AI qua chuỗi workshop được tổ chức liên tục 3 thành phố lớn. Đồng thời, các bạn sẽ có cơ hội làm việc với các chuyên gia đầu ngành về AI tại Việt Nam, cùng cơ hội phát triển dự án của các bạn trong chương trình ươm mầm 1 tháng trước khi tham gia vòng chung kết.Chương trình bao gồm 3 vòng thi: vòng sơ khảo online vào ngày 17/06/2019 - 22/06/2019, 3 hackthon tổ chức tại 3 thành phố lớn nhất cả nước, vòng chung kết ngày 15/08. Tổng giá trị giải thưởng của chương trình lên đến 40.000 USD.Hạn chót đăng ký: ngày 16/06/2019.Đăng ký đội nhóm tham gia hackathon qua website: Tham gia thảo luận cùng nhóm dự thi hackathon: Thông tin chung:  Các mốc thời gian quan trọng:1. Workshop gần nhất sẽ được tổ chức tạp TP.HCM vào ngày 07/06/2019: 2. Vòng sơ khảo online - tổ chức vào ngày 17/06/2019 - 22/06/20193. Hackathon tại TP. Hồ Chí Minh - tổ chức vào ngày 28/06/2019 - 30/06/2019. Địa điểm: RMIT University, 702 Nguyen Van Linh, Tan Hung Ward, District 7, HCMC4. Hackathon tại Đà Nẵng - tổ chức vào ngày 05/07/2019 - 07/07/2019. Địa điểm: Đại Học Duy Tân, 03 Quang Trung, Đà Nẵng.5. Hackathon tại Hà Nội - tổ chức vào ngày 12/07/2019 - 14/07/2019. Địa điểm: Bach Khoa University, 01 Dai Co Viet, Bach Khoa, Hai Ba Trung, Ha Noi6. Hackathon vòng chung kết Grand Finale dự kiến vào 15/08/2019Các bạn cần hỗ trợ về cuộc thi thì liên hệ với mình hoặc tham gia thảo luận trong group dự thi nhé ",,,,,,,,,2390747297845594,/groups/1445720959014904?view=permalink&id=2390747297845594
Ryan June,,"['31', 'May', 'at', '18:30']",,2,2,,,,,,,2389400467980277,/groups/1445720959014904?view=permalink&id=2389400467980277
"Bao Bao,Lập trình Swift",,"['31', 'May', 'at', '00:04']","Chào các bác em đang sinh viên năm cuối, em đang làm 1 app News feed, các bác hướng dẫn em khi User 1 Like hay Comment vào Post của User 2 thì có thông báo như của fb trên máy của User 2 với ạ.Database của em dùng Firebase ạ. Em cảm ơn.",3,3,,,,,,1,2388900194696971,/groups/1445720959014904?view=permalink&id=2388900194696971
"Bao Bao,Lập trình Swift",,"['29', 'May', 'at', '17:55']","Group có anh em nào ứng tuyển fresher iOS bên Vega chưa ? Chia sẻ ae it kinh no,  Không biết PV họ hỏi khó không nhỉ ?",2,2,,,,,,2,2388011614785829,/groups/1445720959014904?view=permalink&id=2388011614785829
"Phạm Mạnh Cường,Lập trình Swift",,"['31', 'May', 'at', '14:36']","BẢN TIN TUYỂN DỤNG ĐẦU THÁNG 6 Địa chỉ: Mỹ Đình, Nam Từ Liêm, Hà Nội - Lập trình viên Java (Senior) - Lập trình viên PHP (Senior) - Lập trình viên .Net (Asp.net, C#, .netCore, MVC); Dotnetnuke; Sharepoint (Senior) - Lập trình viên Mobile App (IOS) - Chuyên viên phân tích nghiệp vụ: BA  - Kỹ sư cầu nối: BrSE",,,,,,,,,2389287741324883,/groups/1445720959014904?view=permalink&id=2389287741324883
"Dương Lý HR,Lập trình Swift",,"['31', 'May', 'at', '13:36']","[Nhật Bản] Tuyển 10 kỹ sư IT  🚫 Yêu cầu:  👉 Thành thạo và biết sử dụng một số ngôn ngữ lập trình như Java,Ruby, Python, PHP, GO.... 👉 Biết tiếng Nhật là một lợi thế.  🚫 Quyền lợi: 👉 Lương: 20- 35man/tháng. Tùy vào kinh nghiệm của ứng viên. 👉 Được làm việc trong một môi trường chuyên nghiệp.  👉 Có thể bảo lãnh người nhà, con cái sang Nhật. 👉Nghỉ lễ, phép theo quy định pháp luật......... 🔈 Nhật Bản không phải chỉ có màu hồng. Nhưng là một đất nước để bạn có thể học tập và phát triển bản thân tốt nhất.",,,,,,,,,2389260691327588,/groups/1445720959014904?view=permalink&id=2389260691327588
